"Comment","Designator","Footprint","LCSC Part#"
"4.7K","R45","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R46","Resistor_SMD:R_0805_2012Metric","C17673"
"1.2K","R47","Resistor_SMD:R_0805_2012Metric","C727987"
"47R 1/4W","R48","Resistor_SMD:R_1206_3216Metric","C2907508"
"4.7K","R49","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R50","Resistor_SMD:R_0805_2012Metric","C17673"
"120R","R51","Resistor_SMD:R_0805_2012Metric","C229076"
"120R","R52","Resistor_SMD:R_0805_2012Metric","C229076"
"120R","R53","Resistor_SMD:R_0805_2012Metric","C229076"
"4.7K","R56","Resistor_SMD:R_0805_2012Metric","C17673"
"10K","R57","Resistor_SMD:R_0805_2012Metric","C17414"
"SW1","BOOT","SlideSwitch:CJS-1200TB","C2921631"
"LD1117S33CTR","U2","digikey-footprints:SOT-223","C35879"
"PCA82C250","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7439"
"STM32F446RETx","U4","Package_QFP:LQFP-64_10x10mm_P0.5mm","C69336"
"MB85RC256V","U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C47538"
"MCP9808","U6","Package_SO:MSOP-8_3x3mm_P0.65mm","C129490"
"LM324","U7","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","C7944"
"BTS700n-1EPP","U8","Profet:TDSO-14","C534824"
"BTS700n-1EPP","U9","Profet:TDSO-14","C534824"
"BTS7008-2EPA","U10","Profet:TDSO-14","C2150060"
"BTS7008-2EPA","U11","Profet:TDSO-14","C2150060"
"LM324","U12","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","C7944"
"BTS7008-2EPA","U13","Profet:TDSO-14","C2150060"
"8mHz","Y1","Crystals_Modify:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","C144380"
